,index,Relevance_Score,Interesting_Score,Summary,url,title,impact,impact_summary
0,Software Developer Backend Engineer,0.2,0.4,"🌞 Qcells expands manufacturing facilities in the U.S., creating opportunities for backend engineers to develop cloud-side communication and firmware update controls using Java/Spring Boot and Kafka.",https://pv-magazine-usa.com/2024/02/26/first-solar-could-have-5-billion-impact-on-u-s-economy-by-2026/,First Solar could have $5 billion impact on U.S. economy by 2026,0.6,"First Solar, a vertically integrated solar manufacturer, commissioned an economic analysis of its value chain in the US.

The company plans to expand its manufacturing capacity in Ohio, Alabama, and Louisiana.

The study highlights the job creation and economic impact of First Solar's expansion in the US."
1,Software Developer DevOps Engineer,0.3,0.3,"🌞 Qcells' manufacturing expansion in the U.S. requires DevOps engineers with knowledge of C/C++, Linux servers, Docker, CI/CD processes, and AWS services.",https://pv-magazine-usa.com/2024/02/26/first-solar-could-have-5-billion-impact-on-u-s-economy-by-2026/,First Solar could have $5 billion impact on U.S. economy by 2026,0.6,"First Solar, a vertically integrated solar manufacturer, commissioned an economic analysis of its value chain in the US.

The company plans to expand its manufacturing capacity in Ohio, Alabama, and Louisiana.

The study highlights the job creation and economic impact of First Solar's expansion in the US."
2,PV Technology Strategy,0.8,0.7,"🌞 Qcells conducts an economic analysis of its vertically integrated solar manufacturing value chain in the U.S., emphasizing the importance of staying ahead in solar cell and module technology.",https://pv-magazine-usa.com/2024/02/26/first-solar-could-have-5-billion-impact-on-u-s-economy-by-2026/,First Solar could have $5 billion impact on U.S. economy by 2026,0.6,"First Solar, a vertically integrated solar manufacturer, commissioned an economic analysis of its value chain in the US.

The company plans to expand its manufacturing capacity in Ohio, Alabama, and Louisiana.

The study highlights the job creation and economic impact of First Solar's expansion in the US."
3,Software Technology Strategy,0.6,0.6,"🌞 Qcells invests in R&D infrastructure and technology roadmaps, focusing on TOPCon and Tandem technologies to enhance its competitive edge in the PV industry.",https://pv-magazine-usa.com/2024/02/26/first-solar-could-have-5-billion-impact-on-u-s-economy-by-2026/,First Solar could have $5 billion impact on U.S. economy by 2026,0.6,"First Solar, a vertically integrated solar manufacturer, commissioned an economic analysis of its value chain in the US.

The company plans to expand its manufacturing capacity in Ohio, Alabama, and Louisiana.

The study highlights the job creation and economic impact of First Solar's expansion in the US."
4,Legal Managers,0.4,0.2,"🌞 Qcells seeks legal managers to ensure compliance and risk management in corporate law, intellectual property, and regulatory matters related to its energy and petrochemical business.",https://pv-magazine-usa.com/2024/02/26/first-solar-could-have-5-billion-impact-on-u-s-economy-by-2026/,First Solar could have $5 billion impact on U.S. economy by 2026,0.6,"First Solar, a vertically integrated solar manufacturer, commissioned an economic analysis of its value chain in the US.

The company plans to expand its manufacturing capacity in Ohio, Alabama, and Louisiana.

The study highlights the job creation and economic impact of First Solar's expansion in the US."
5,Software Developer Backend Engineer,0.2,0.3,"🌐 Cloud-side development, API handling, firmware update controls, Java/Spring Boot, Kafka, AWS MSK, OpenSearch monitoring.",https://www.pv-magazine.fr/2024/02/26/lacteur-de-la-semaine-soleil-beaujolais-a-de-lenergie-a-revendre/,[L’acteur de la semaine] Soleil Beaujolais a de l’énergie à revendre,Relevance score: 0.2,"Summary:
- (🌞)Soleil Beaujolais, a citizen collective, is promoting renewable energy and energy efficiency in the Beaujolais region.
- (💡)They are involved in educational projects, climate awareness initiatives, and energy-saving programs.
- (💰)Soleil Beaujolais is also a solar electricity producer, with several projects underway, but they are facing financial challenges and seeking new partners for funding."
6,Software Developer DevOps Engineer,0.1,0.2,"🐳 C/C++ programming, Linux servers, CI/CD processes, Jenkins, Yocto build system, AWS services, JIRA/Confluence.",https://www.pv-magazine.fr/2024/02/26/lacteur-de-la-semaine-soleil-beaujolais-a-de-lenergie-a-revendre/,[L’acteur de la semaine] Soleil Beaujolais a de l’énergie à revendre,Relevance score: 0.2,"Summary:
- (🌞)Soleil Beaujolais, a citizen collective, is promoting renewable energy and energy efficiency in the Beaujolais region.
- (💡)They are involved in educational projects, climate awareness initiatives, and energy-saving programs.
- (💰)Soleil Beaujolais is also a solar electricity producer, with several projects underway, but they are facing financial challenges and seeking new partners for funding."
7,PV Technology Strategy,0.4,0.5,"🌞 R&D in solar cell and module technology, technology analysis, roadmaps, intellectual property, global innovations.",https://www.pv-magazine.fr/2024/02/26/lacteur-de-la-semaine-soleil-beaujolais-a-de-lenergie-a-revendre/,[L’acteur de la semaine] Soleil Beaujolais a de l’énergie à revendre,Relevance score: 0.2,"Summary:
- (🌞)Soleil Beaujolais, a citizen collective, is promoting renewable energy and energy efficiency in the Beaujolais region.
- (💡)They are involved in educational projects, climate awareness initiatives, and energy-saving programs.
- (💰)Soleil Beaujolais is also a solar electricity producer, with several projects underway, but they are facing financial challenges and seeking new partners for funding."
8,Software Technology Strategy,0.3,0.4,"💡 Technology roadmaps for PV, TOPCon and Tandem technologies, strategic R&D planning, IP strategies, competitive analysis.",https://www.pv-magazine.fr/2024/02/26/lacteur-de-la-semaine-soleil-beaujolais-a-de-lenergie-a-revendre/,[L’acteur de la semaine] Soleil Beaujolais a de l’énergie à revendre,Relevance score: 0.2,"Summary:
- (🌞)Soleil Beaujolais, a citizen collective, is promoting renewable energy and energy efficiency in the Beaujolais region.
- (💡)They are involved in educational projects, climate awareness initiatives, and energy-saving programs.
- (💰)Soleil Beaujolais is also a solar electricity producer, with several projects underway, but they are facing financial challenges and seeking new partners for funding."
9,Legal Managers,0.1,0.1,"⚖️ Legal compliance, risk management, corporate law, intellectual property, regulatory matters.",https://www.pv-magazine.fr/2024/02/26/lacteur-de-la-semaine-soleil-beaujolais-a-de-lenergie-a-revendre/,[L’acteur de la semaine] Soleil Beaujolais a de l’énergie à revendre,Relevance score: 0.2,"Summary:
- (🌞)Soleil Beaujolais, a citizen collective, is promoting renewable energy and energy efficiency in the Beaujolais region.
- (💡)They are involved in educational projects, climate awareness initiatives, and energy-saving programs.
- (💰)Soleil Beaujolais is also a solar electricity producer, with several projects underway, but they are facing financial challenges and seeking new partners for funding."
