url,tag,author,updated_date,title,contents
https://www.pv-magazine.com/2023/10/16/mit-scientists-develop-csp-system-to-produce-hydrogen/,"HYDROGEN,MODULES & UPSTREAM MANUFACTURING,TECHNOLOGY,TECHNOLOGY AND R&D,MASSACHUSETTS,NORTH AMERICA,UNITED STATES",LIOR KAHANA,"OCTOBER 16, 2023",MIT scientists develop CSP system to produce hydrogen,"MIT researchers have developed a new CSP system to produce green hydrogen. The system, which is currently in the conceptual stage, aims to use up to 40% of solar heat for green fuel generation – a significant improvement from previous systems, which only achieved a 7% utilization rate.
“The increase in efficiency could drive down the system’s overall cost, making solar thermochemical hydrogen (STCH) a potentially scalable, affordable option to help decarbonize the transportation industry,” the scientists said. “It is a big step toward realizing solar-made fuels.”
Similar to other STCH designs, the conceptual system can be built around an existing CSP plant, absorbing the receiver’s heat and directing it to split water and produce hydrogen. However, there is a novel two-step thermochemical reaction at the heart of the new system.
“In the first step, water in the form of steam is exposed to a metal. This causes the metal to grab oxygen from steam, leaving hydrogen behind,” the scientists said. “Once hydrogen is separated, the oxidized (or rusted) metal is reheated in a vacuum, which acts to reverse the rusting process and regenerate the metal. With the oxygen removed, the metal can be cooled and exposed to steam again to produce more hydrogen. This process can be repeated hundreds of times.”
The efficiency of this process is related to its train-like design, with box-shaped reactors running on a circular track. Each reactor in the train would house the metal repeatedly going through different thermochemical stations.
“Each reactor would first pass through a hot station, where it would be exposed to the sun’s heat at temperatures of up to 1,500 C. This extreme heat would effectively pull oxygen out of a reactor’s metal,” the group said. “That metal would then be in a ‘reduced' state – ready to grab oxygen from steam. For this to happen, the reactor would move to a cooler station at temperatures around 1,000 C, where it would be exposed to steam to produce hydrogen.”
Another improvement in the system is its ability to recover most of the heat used in the process. It does so by allowing reactors on opposite sides of the circular train-like track to exchange heat through thermal radiation. In addition, a second set of reactors circle around the first train, moving in the opposite direction and operating in cooler temperatures. This allows the evacuation of oxygen from the hotter inner train, without the need for energy-consuming mechanical pumps.
“When fully implemented, this system would be housed in a little building in the middle of a solar field,” said researcher Aniket Patankar. “Inside the building, there could be one or more trains each having about 50 reactors. And we think this could be a modular system, where you can add reactors to a conveyor belt, to scale up hydrogen production.”
The research team said it will build a prototype of the system in the coming year.
“We’re thinking of hydrogen as the fuel of the future, and there’s a need to generate it cheaply and at scale,” said the study’s lead author, Ahmed Ghoniem.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/indias-seci-launches-1-gw-solar-tender/,"MARKETS,UTILITY SCALE PV,INDIA",UMA GUPTA,"OCTOBER 16, 2023",India’s SECI launches 1 GW solar tender,"From pv magazine India
SECI has started accepting bids to set up 1 GW of solar projects on a build-own-operate basis in India. The projects can be located anywhere in India, as long as they are connected to the interstate transmission system (ISTS).
SECI will sign 25-year power purchase agreements (PPA) with the developers selected through the tender. Power procured by SECI from the projects will be sold to different buying entities in India.
“Bidders who have already commissioned solar PV plants/storage plants or are in the process of constructing such plants and have untied capacity may also participate,” said the tender document. “In such case, they will be given the benefit of a longer period of PPA, commensurate to the duration between the actual date of commencement of supply of power and scheduled commencement of supply date.”
A single developer can bid for contracted capacity ranging from 50 MW to 500 MW, in increments of 10 MW. The maximum capacity that can be allocated to a single bidder is 500 MW. The responsibilities of the developer include identifying suitable land, project installation, project ownership, obtaining the necessary approvals, and establishing interconnection with the ISTS network to supply power to SECI.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/new-online-platform-in-spain-facilitates-investments-in-wind-pv-projects/,"MARKETS,UTILITY SCALE PV,UTILITY SCALE STORAGE,SPAIN",PILAR SÁNCHEZ MOLINA,"OCTOBER 16, 2023","New online platform in Spain facilitates investments in wind, PV, storage projects","From pv magazine Spain
Spanish company nTeaser has launched a new online platform to help investors to buy wind and solar projects from renewable energy developers in Spain.
“We have already published co-developments for almost 2 GW of projects in Spain, which has generated a lot of interest from investors and has received a few good offers, and we will soon publish another 100 MW storage project from another developer, also in co-development,” nTeaser's founder, Carmen Izquierdo, told pv magazine. “We are in talks with other developers to upload their smaller, but more advanced battery projects.”
The solar projects to be included in the platform have capacities ranging from 5 MW to 10 MW. Izquierdo said that a developer with substantial experience in wind power is currently seeking a financial partner for the 2 GW storage project.
“We believe that the batteries are going to hit hard. Although there is still little visibility, the big ones are already positioning themselves well,” said Izquierdo.
Large funds with international operations and significant independent power producers experienced in PV development have primarily used the nTeaser platform, she said.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/taiwanese-utility-sets-up-renewables-bidding-platform/,"COMMERCIAL & INDUSTRIAL PV,MARKETS,RESIDENTIAL PV,UTILITY SCALE PV,TAIWAN",EMILIANO BELLINI,"OCTOBER 16, 2023",Taiwanese utility sets up renewables bidding platform,"Taipower, a state-run utility in Taiwan, has created a new bidding platform to sell renewable energy to small and medium-sized businesses.
The new platform aims to facilitate clean energy procurement for all companies, beyond just large corporations and bilateral power purchase agreements (PPAs).
Taipower said it plans to make 10 GWh of renewable energy available this month, increasing to 50 GWh by the end of this year, with renewable power delivery starting in January. The PPAs can range from one to five years in duration.
“A single bidder may choose between six different packages according to their own needs,” Taipower said in a statement.
Taiwan's Ministry of Economic Affairs and the National Renewable Energy Certification Center will manage the auction. Companies that win in the first round will not be eligible for the second round, in order to encourage broad participation.
The Taiwanese government's goal is to achieve 20 GW of solar capacity by 2025, including 3 GW of rooftop PV and 17 GW of ground-mounted installations. According to the most recent data from the International Renewable Energy Agency, Taiwan had approximately 9.72 GW of installed PV capacity at the end of 2022.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/rept-battero-begins-mass-production-of-wending-320-ah-battery/,"SPONSORED,CHINA,UNITED STATES",,"OCTOBER 16, 2023",REPT BATTERO begins mass production of Wending 320 Ah battery,"In the ever-evolving realm of energy storage, the 320 Ah battery is quickly becoming the go-to technology for large-scale projects due to its ability to offer greater capacity without requiring a larger footprint. REPT BATTERO, headquartered in China, officially launched mass production of its Wending 320 Ah energy storage cell in Q3 of 2023, which is the latest in the company’s line of battery solutions.
The 320 Ah Wending battery caters to the energy storage system (ESS) market, serving industrial, commercial, and renewable energy sectors with a cycling life of over 10,000 times and a calendar life of more than 20 years. The manufacturer says the battery has an energy density of 400 Wh/l and 180 Wh/kg and 95% energy efficiency.
The 320 Ah battery offers a 15% increase in energy storage capacity within the same standard dimensions as its predecessors. This means more power in a smaller footprint, addressing the industry's long-standing challenge of space optimization. Additionally, the 320Ah Wending batteries are fully compatible with the Y-52 and Y-104 Liquid-Cooled Energy Storage DC Block series products, addressing crucial challenges in the ESS sector.
According to REPT BATTERO, its Wending 320 Ah battery facilitates savings of 10% on raw material and component costs and will reduce system and infrastructure costs by 12.5% to 15% and act as a catalyst for business growth within the renewable energy sector, also reducing operational expenses and improving revenue streams.
The 320 Ah battery represents a substantial leap toward achieving a sustainable and efficient energy landscape. REPT BATTERO’s technology has been recognized with esteemed awards, such as the TÜV AQM Awards 2023, and holds multiple certifications. In mid-2023, the company received certification from TÜV Rhineland, Germany, for three international standards – UL 1973, UL 9540A, and IEC 62619:2022.
The manufacturer says its current output for 320 Ah Wending batteries is 500,000 per month.
REPT BATTERO says it will continue its advances in battery energy storage with production of a 340 Ah battery in Q4 of 2023. The technology is expected to have an energy density of 430 Wh/l.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/triple-solar-introduces-residential-thermal-battery/,"DISTRIBUTED STORAGE,ENERGY STORAGE,ENERGY STORAGE,HEAT PUMPS,RESIDENTIAL PV,TECHNOLOGY AND R&D,NETHERLANDS",EMILIANO BELLINI,"OCTOBER 16, 2023",Triple Solar introduces residential thermal battery,"Netherlands-based Triple Solar BV has launched a thermal battery for residential applications.
The manufacturer said the thermal storage system can be used in combination with its heat pumps. “Compared to a traditional hot water boiler, the thermal battery is up to four times smaller,” it said in a statement.
Triple Solar sells the new product in three different sizes. The smallest battery measures 640 mm x 365 mm x 575 mm and weighs 136 kg. It features a heat loss rate of 0.67 kWh/day and its capacity is 167 l.
The medium-sized device has a size of 870 mm x 365 mm x 575 mm, a weight of 187 kg and a capacity of 217 l. It has a heat loss rate of 0.77 kWh/day. The largest product has dimensions of 1,050 mm x 365 mm x 575 mm and weighs in at 233 kg. Its capacity is 333 l and it has a heat loss rate of 0.84 kWh/day.
All products operate at a maximum pressure of 10 bars and can reportedly provide hot water at temperatures ranging from 45C to 55 C, with minimum heat source temperature ranging between 65 C and 80 C.
“Households and their homes are becoming smaller and smaller. As a result, there is often no room for a large boiler,” said the company's COO, Cees Mager. “The thermal battery is so compact that it even fits in a kitchen cupboard.”
Triple Solar began selling the new thermal battery on October 12. The Dutch company also manufactures heat pumps and photovoltaic-thermal (PVT) panels.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/4jet-unveils-laser-system-for-p1-p2-p3-scribing-of-perovskte-cdte-cigs-solar-modules/,"MODULES & UPSTREAM MANUFACTURING,TECHNOLOGY AND R&D,GERMANY",VALERIE THOMPSON,"OCTOBER 16, 2023","4JET unveils laser system for P1, P2, P3 scribing of perovskte, CdTe, CIGS solar modules","German equipment supplier 4JET unveiled a new laser system for thin film scribing.
Called TOPAZ P1/P2/P3, the new laser system can be equipped with a wide range of laser sources, including nanosecond, picosecond, and femtosecond lasers in the infrared, green or ultraviolet wavelength ranges from can be done from either the substrate-side or from the film-side. The company claims a throughput of greater than 10,000 substrates per day with 10-second cycle times for 300 scribe lines.
The working area is said to go up 2,400 mm x 1,300 mm, supporting substrate thickness in the range of 2 mm to 4 mm. “Customers can, of course, request specific dimensions within the working area range,” Benjamin Bopp, sales director at 4JET, told pv magazine.
The system has a laser sub-system design featuring “individual path tracking,” which Bopp said is related to the other features, such as individual auto-focus, and individual power-balancing for every single processing beam.
“In other concepts, there is only one sensor for a multitude of laser beams, for example, which causes inaccuracies by design. The laser beams from the source are split into multiple laser beams in the processing head. Since beam splitting is never perfect in real life, this leads to uneven power distribution, and therefore uneven scribing results,” said Bopp.
The laser units each have their own sensors, power level settings, and focus optics. These features result in more precise measurement and a higher number of measurement points, according to Bopp, which in turn means more precise, consistent scribing, and the potential to reduce unproductive areas between scribing lines, te so-called dead zones.
According to the manufacturer, the system design has also the benefit of being able to bring the scribes closer together without increasing the risk of crossing, which leads to fewer inaccuracies in terms of focus position, and fade out lines, especially at the edges of the modules.
The new solution has a power requirement of 400Vac, 63 A and a factory-floor footprint of 7,500 mm³ x 5,650 mm³ x 2,300 mm³, including peripherals.
First customers are using the new systems in pilot line production with several systems on order for mass production purposes, according to Bopp.
 
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/u-s-startup-launches-scalable-wave-energy-converter-usable-with-solar/,"MODULES & UPSTREAM MANUFACTURING,TECHNOLOGY AND R&D,HAWAII,UNITED STATES",EMILIANO BELLINI,"OCTOBER 16, 2023","U.S. startup launches scalable wave energy converter, usable with solar","US-based startup Wavr LLC has developed a wave energy converter (WEC) that could be used for low-power marine applications.
Wavr developed its first prototypes for consumers, such as boat owners. The company claims that the system is particularly suitable for water surfaces with weak waves, as its modular design is able to increase the required power output by integrating more systems in an array configuration.
The technology can be used in low-power marine data buoys and internet of things (IoT) devices, according to the company, which claims its technology has no intermittency issues found in some other renewable energy technologies.
“The system is also designed to be scaled up and integrated with other renewable energy technologies,” the company said, noting that future prototypes may also be combined with photovoltaic panels installed on top of the floaters, small wind turbines, mini-hydropower systems or other tidal energy technologies.

“We feel the hybrid unit with solar panels is the next most important prototype for us. We are currently developing it with a group called Infrgy,” the company's founder, Clyde Igarashi, told pv magazine. “We’re using conventional PV panels rated at IP68 to handle conditions out at sea. The panels are placed directly on top of the WEC modules and cables are protected by rubber seals. Micro inverters under the panels are used to synchronize with the frequency and amplitude of our wave energy converter.”
The standalone system is made of 3D-printed plastic and has a weight of 4.5 kg. It embeds an internal battery to store energy and is linkable to external batteries, the manufacturer said. It features a power output of 3 W per square foot (0.09 m2).
“After we perfect the hybrid Wavr with solar panels, the next step would be to link arrays together,” Igarashi said. “Currently we are targeting a price of around $2,300, which would include five 40 W solar panels. The 200 W solar system with inverter accounts for approximately $800 of the cost.”
He also stated that the price should decrease significantly with scale. “We haven’t yet done an LCOE calculation for any specific location,” he added.
Wavr is based in Mililani, Honolulu County, Hawaii.
 
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/australian-company-launches-3-gw-wind-solar-tender/,"MARKETS,UTILITY SCALE PV,AUSTRALIA",DAVID CARROLL,"OCTOBER 16, 2023","Australian company launches 3 GW wind, solar tender","From pv magazine Australia
CleanCo, a Queensland government-owned energy company, wants to add 3 GW of clean energy capacity to support the Australian state’s renewable energy targets, which aim for 50% by 2030, rising to 70% by 2032 and 80% by 2035.
CleanCo Chief Executive Officer Tom Metcalfe said the 3 GW total includes project development acquisitions, joint venture investments, and offtake agreements.
“We’re looking for renewable energy and firming projects that will help us reach our 2030 goals and contribute to Queensland’s clean energy future,” he said.
Submissions for the 3 GW close on Nov. 17.
The Queensland government’s renewable energy targets call for an additional 22 GW of new wind and solar projects by 2035, supported by at least 12 GW of storage, firming and dispatchable technologies including grid-scale batteries and pumped hydro storage.
In June, the state government announced it would spend AUD 500 million ($316.4 million) through CleanCo “to propel the development of large-scale solar and wind projects” in central Queensland.
In September, CleanCo released an expression of interest seeking up to 400 MW of renewable generation and storage projects to support the development of its Swanbank Clean Energy Hub near Ipswich, Queensland.
CleanCo has also been given funding to install a 250 MW/500 MWh big battery at the Swanbank energy precinct.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
https://www.pv-magazine.com/2023/10/16/topcon-dominates-indias-rei-2023-trade-show/,"EVENTS,MARKETS,MODULES & UPSTREAM MANUFACTURING,INDIA",UMA GUPTA,"OCTOBER 16, 2023",TOPCon dominates India’s REI 2023 trade show,"From pv magazine India
The Renewable Energy India Expo 2023 – held last week in Greater Noida, Uttar Pradesh – was much bigger and more crowded than last year’s event. The organizers of the show told pv magazine that the event recorded 621 exhibitors and 43,182 trade visitors. The numbers exclude the Battery Show India, which was co-located with REI Expo 2023 for the first time in India and showcased over 200 brands to more than 8,000 visitors.
Most of the solar PV manufacturers showcased their offerings in the latest n-type technologies. It is now clear that n-type TOPCon is going to take the driver’s seat for the Indian PV manufacturing sector.
“Currently, n-type TOPCon modules cost INR 1-2/W more than mono PERC, but as the technology advances, their price is bound to come down. Also, TOPCon allows for BOS cost savings of up to 3.26% while offering up to 5% increase in power output,” Shubhra Mohanka, director at Gautam Solar, told pv magazine. “So, if you consider all these factors, the user is going to benefit from the use of TOPCon.”
All major module manufacturers in India are embracing the shift from p-type to n-type technology, with TOPCon emerging as their preferred choice.
“Many of the leading cell manufacturers in China have already started producing TOPCon cells,” said Vikas Arya, AVP-product strategy and marketing for solar at Jakson Group. “This development is expected to narrow the price gap between M10 p-type and TOPCon technologies by the end of 2023 or early 2024.”
Manufacturers of mono PERC solar cells that aim to meet TOPCon demand can modify or upgrade their current production lines to adapt to the rising number of busbars from 10 BB in p-type to 16 BB in TOPCon. According to Arya, some Chinese cell manufacturers offer TOPCon cells with a 10BB configuration, providing a cost-effective short-term solution for adapting existing 10BB mono PERC lines.
“It is essential to plan for the upgrade of machines from 10BB to 16BB in collaboration with machine suppliers, ensuring preparedness as the market transitions from mono PERC to TOPCon technology in 2024-25,” Arya said.
A Pixon representative said that if Indian manufacturers do not upgrade their production lines to adopt advanced technologies such as TOPCon, they c0uld lose the opportunity to emerge as a viable alternative.
“After three months, more than 50% of the module production globally will adopt TOPCon. Going with the flow, Goldi Solar is expanding its TOPCon-ready PV module capacity to 4 GW with the addition of 1 GW of new production lines,” said Bharat Bhut, co-founder and director of Goldi Solar.
Most HJT manufacturers at the show said that HJT adoption could take a bit longer [than TOPCon] due to its more complex manufacturing process and higher costs.
“The efficiency of TOPCon modules is somewhere around 24.5%, whereas HJT offers 24.5% to 25%,” said Bhut. “There is only half a per cent difference in efficiency between the two technologies but the costs involved with HJT is very high.”
Adani, with a goal of achieving 10 GW of MG silica-to-PV module manufacturing capacity in India by 2027, presented its Elan Shine series of bifacial TOPCon modules, boasting efficiency of up to 22.4%. In addition to Adani, Waaree also featured TOPCon and HJT products at the event, such as a 715 Wp dual-glass bifacial HJT solar module and a 720 Wp TOPCon panel.
“The overall trend in Indian PV manufacturing has been shifting away from polycrystalline to monocrystalline solar modules, especially considering the fact that ALMM limits on minimum solar module efficiency mean even small project developers are shifting to monocrystalline modules. In monocrystalline module technologies, n-type TOPCon has seen a significant uptake recently with many significant players [including us] showcasing n-type TOPCon modules at REI 2023,” said Gautam Mohanka, CEO of Gautam Solar. “These modules provide greater efficiencies than mono PERC modules, which still remains the most preferred technology. But this will gradually change in the near future as many manufacturers are increasing their manufacturing capacity to increase the production of n-type TOPCon modules to meet the growing market demand.”
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com."
