,News_Url,News_tags,News_author,Released_Date,News_Title,News_Contents,News_Image,News_Nationality
0,https://www.pv-magazine.com/2024/03/05/the-hydrogen-stream-egypt-unveils-hydrogen-plans-for-suez/,"ENERGY STORAGE,ENERGY STORAGE,HYDROGEN,INSTALLATIONS,MARKETS & POLICY,UTILITY SCALE PV,UTILITY SCALE STORAGE,CALIFORNIA,EGYPT,FRANCE,GERMANY,ITALY,NORWAY,UNITED STATES,WORLD",SERGIO MATALUCCI,2024-03-05,The Hydrogen Stream: Egypt unveils hydrogen plans for Suez Canal,"Egypt has signed seven agreements with seven international developers to develop green hydrogen production plans and renewable energy installations in the Suez Canal Economic Zone. The agreements will support about $12 billion of pilot-phase investments, in addition to about $29 billion for the first phase, said the Egyptian government, noting that this will bring the total to about $40 billion within 10 years. 
Yara and GHC SAOC, a wholly owned subsidiary of India’s Acme Cleantech, have signed a binding agreement to supply ammonia with reduced CO2 emissions from Acme to Yara. “The long-term offtake agreement between Yara and Acme covers the supply of 100,000 tons per annum of renewable ammonia and possibly the world’s first arm’s-length contract for renewable ammonia of this scale and tenure,” said Yara.
The EIB has agreed to support initial commercial production of Germany-based Sunfire's solid oxide electrolyzers with up to €100 million ($108.5 million) in venture debt, with €70 million already signed. In the development of solid oxide electrolyzers, Dresden-based Sunfire will seek improvements in stack and module design, usinf new materials and optimizing design, in addition to automation and new production techniques, to simplify the production process, said the EIB.
The European Parliament and the Council of the European Union agreed to expand the uptake of sustainable fuels, such as advanced biofuels or hydrogen, in the aviation sector. The European Parliament said that beginning in 2025, a minimum of 2% of aviation fuels will be green. This percentage will progressively increase every five years to 6% by 2030, 20% by 2035, 34% by 2040, 42% by 2045, and ultimately reach 70% by 2050. The informal deal still needs to be approved by the Council Committee of Permanent Representatives and Parliament’s Transport and Tourism Committee, and then the European Council and the European Parliament.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/SuezCanal4_byDanielCsorfoly-280x280.jpg,global
1,https://www.pv-magazine.com/2024/03/05/chinese-pv-industry-brief-huaneng-buys-0-12-w-modules-in-10-gw-tender/,"INVERTERS,MARKETS,MODULES & UPSTREAM MANUFACTURING,CHINA",VINCENT SHAW,2024-03-05,Chinese PV Industry Brief: Huaneng buys $0.12/W modules in 10 GW tender,"Huaneng Group concluded a PV module procurement process on March 4. It selected eight manufacturers – JA Solar, JinkoSolar, Huayao PV, Longi, Tongwei, GCL SI, Risen, and Huasun. The tender section for 2 GW of P-type panel products resulted in an average price of CNY 0.842 ($0.12)/W. In the tenders for 7.5 GW of tunnel oxide passivated contact (TOPCon) and 500 MW of heterojunction solar cells (HJT) – totaling 8 GW of N-type products – the average price was CNY 0.887/W. The companies will collectively share 10 GW of orders, but the specific allocation among them has not been disclosed.
Konka Group, a home appliance manufacturer, reportedly plans to invest in a new PV glass production line in Qiannan prefecture, Guizhou province, with a daily capacity of 1,200 tons. The project is expected to commence operations in June 2025, according to an announcement from the Guizhou Provincial Department of Industry and Information Technology. This venture marks Konka Group's latest foray into the PV glass sector, following its previous investment in a production line in Jiangxi province in 2021, which has an annual output of 15 million square meters.
Trina Solar recently secured Product Carbon Footprint Certificates for its entire line of Vertex N solar modules, including the Vertex N 720W series panels and Vertex N 625W, following verification by UL Solutions this week. This latest certification adds to Trina Solar's growing list of green certifications in Western markets, building on previous recognitions such as the UL EPD and Italian EPD received in December 2023.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/thomas-coker-Vza4joUQGgY-unsplash-280x280.jpg,global
2,https://www.pv-magazine.com/2024/03/05/standard-energy-unveils-vanadium-ion-battery-with-1-degradation/,"ENERGY STORAGE,TECHNOLOGY AND R&D,WORLD",MARIAN WILLUHN,2024-03-05,Standard Energy unveils vanadium-ion battery with 1% degradation,"South Korea-based Standard Energy has developed a battery with just 1% degradation after 20,000 testing cycles. The company uses vanadium-ion batteries (ViB).
It showcased the ViB at the recent Smart Energy Week in Tokyo. The company's chief project and marketing officer, Gyucheol Lee, said that 10 years ago, the company was developing vanadium-redox flow batteries. However, this type of battery could never get above 80% roundtrip efficiency, as electric pumps were needed to move large amounts of electrolyte from tank to tank.
The company therefore shifted its focus to using vanadium in the same fashion as lithium – as an ion battery. Vanadium is an exciting candidate for cathode materials, Lee said, because it has many dispensable electrons in its atoms and features four ionic states. Multiple ionic states allow its electrons to move without the material changing from metal to ion state between charging and discharging. According to Lee, the change from metal to ion state promotes cathode-electrolyte-interphase growth – the principal degradation mode in lithium-ion batteries.
With no metal dissolution occurring in vanadium-ion batteries, the company has tested its batteries in its laboratory. Cycling them at a strenuous C-rate of 3, with 100% depth of discharge for 20,000 cycles, the company noted a degradation of just 1%.
In addition to this superior cycling life, the batteries are also said to be safer than their lithium-ion competitors. Standard Energy can use aqueous electrolytes in its batteries, rendering them virtually non-flammable. The current product also boasts a high-power delivery of a C-rate of 5, with a roundtrip efficiency of 96 %, according to test data.
High C-rates are only wanted sometimes. There are various requirements for energy and power delivery between different applications. Lee said vanadium-ion batteries do not require a change in cathode design, as with lithium-ion batteries – referring to the other use cases of LFP, NMC, and NCA batteries. Vanadium-ion batteries could be designed to deliver 10-hour duration storage for PV and wind systems or 5 C for UPS and frequency regulation without a change in their cathode design.
There are some drawbacks, however. Lee said vanadium is much heavier than lithium, making his batteries only usable in stationary applications, like large-scale battery energy storage systems (BESS) and residential storage systems.
Another issue is cost. At present, vanadium is very expensive. The price has risen 20-fold since the company started developing the product. With the startup-like production capacity and high resource prices, the batteries cost around double what competitively priced lithium-ion batteries cost.
Lee said he hopes the product will become more competitively priced when the company's planned gigafactory starts operations in two years. He said he also thinks that vanadium prices could come down again. Vanadium is not scarce, with large quantities available in Australia, China, and South Korea. New mining projects could bring down the price of raw materials.
The company started selling its products in South Korea in December 2023. So far, it has sold 10 MWh of batteries. Standard Energy sells complete systems and helps project developers and engineering contractors with installation and system design. The company is now waiting for certification for use in Japanese grids. European certification could take another two to five years, but is now in the planning stage, said Lee.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/Standard_Energy-280x280.jpeg,global
3,https://www.pv-magazine.com/2024/03/05/european-parliament-council-reach-provisional-agreement-on-forced-labor/,"MARKETS,MODULES & UPSTREAM MANUFACTURING,EUROPE",PILAR SÁNCHEZ MOLINA,2024-03-05,"European Parliament, Council reach provisional agreement on forced labor","The European Parliament and the European Council have reached a provisional provision on new regulations to ban products manufactured with forced labor from the European Union.
The deal was reached by unspecified “negotiators,” but it will have to be approved by the European Parliament and the European Council. The new rules will be published in the Official Journal of the European Union one day after approval. EU member countries will have three years to enforce the new provisions.
“According to the agreed text, national authorities or, if third countries are involved, the EU Commission, will investigate suspected use of forced labor in companies’ supply chains,” said the EU Parliament in a press release. “If the investigation concludes that forced labor has been used, the authorities can demand that relevant goods be withdrawn from the EU market and online marketplaces, and confiscated at the borders.”
At the request of parliament, the European Commission will draw up a list of specific economic sectors in specific geographical zones where forced labor reportedly exists. This will become a standard for evaluating the need to open investigations.
According to the agreed text, the bloc will investigate suspicions about the use of forced labor in companies. If an investigation concludes that forced labor has occurred, the authorities will demand that the merchandise be withdrawn from the European market and confiscated at the border. The confiscated products will have to be donated, recycled, or destroyed.
“A new Forced Labour Single Portal would be set up to help enforce the new rules,” the press release said. “It includes guidelines, information on bans, database of risk areas and sectors, as well as publicly available evidence and a whistleblower portal. A Union Network Against Forced Labour Products would help to improve cooperation between authorities.”
The Internal Market and International Trade Committees of the European Parliament approved the draft regulation in October.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2023/10/european-parliament-1274765_1280-280x280.jpg,global
4,https://www.pv-magazine.com/2024/03/05/french-energy-associations-installing-solar-shades-above-cemetery/,"COMMERCIAL & INDUSTRIAL PV,MARKETS,MODULES & UPSTREAM MANUFACTURING,FRANCE",FRANCOIS PUTHOD,2024-03-05,French energy associations installing solar shades above cemetery,"From pv magazine France
French associations Brier’energie and RECIT are deploying photovoltaic shades above a cemetery as part of a collective self-consumption operation. The project will supply electricity from the summer of 2025 to the 4,000 inhabitants of the commune of Saint-Joachim, Pays de la Loire, France.
About 420 citizens have agreed to pay an entry fee of €5 ($5.20) to become consumers of the energy that will be produced by the shades.
“Made up of 5,000 photovoltaic panels, the future plant will extend over 8,000 m2 and offer a power of 1.3 MW,” Éric Boquaire, the president of Brier’energie, told pv magazine France.
In addition to producing electricity, the PV shade structures will prevent the flooding of the cemetery, which is located in a marshy area, by collecting rainwater for a neighboring sports complex.
The municipality will fully finance the €3.35 million ($3.6 million) installation, using tax capital gains from a 7% property tax increase due to inflation, redistributed to the community.
The facility will equitably share the electricity produced without favoring or penalizing any consumers.
“It will be necessary to constantly manage the power stream from and to the grid on the one hand, but also to establish distribution rules between participants, by defining distribution rules,” said Boquaire.
The two standard distribution parameters proposed by French grid operator Enedis – static or dynamic by default – were not suitable and it was necessary to come up with one capable of ensuring equal treatment between every participant.
“We have defined a dynamic citizen distribution module according to the following rule: one consumer – the same right to consume, with redistribution of the surplus,” said Boquaire. “This key is not based on mathematics, but on an algorithm that must be created from scratch.”
A dedicated company will calculate encrypted data, collected every 30 minutes from hundreds of users. Every month, it will send Enedis a summary sheet of results, enabling deductions for participating subscribers' invoices.
The next stage of the project will concern the assembly of a prototype from March 18 on a small part of the cemetery (180 square meters), to check the integration of the future solar plant into its environment. According to Brier'energie, the operation should enable participants to save an average of €150 to €250 on their annual electricity bills.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/Allee-280x280.jpg,global
5,https://www.pv-magazine.com/2024/03/05/first-attempt-to-build-perovskite-solar-cell-based-on-ionic-liquids-delivers-13-8-efficiency/,"MODULES & UPSTREAM MANUFACTURING,TECHNOLOGY AND R&D,NORTH KOREA",EMILIANO BELLINI,2024-03-05,First attempt to build perovskite solar cell based on ionic liquids delivers 13.8% efficiency,"A research group at North Korea's Kim Chaek University of Technology has made the first attempt to design a perovskite solar cell with an absorber treated with ionic liquids (ILs) to passivate defects in the perovskite film.
“ILs are liquids at ambient temperature due to low melting point and have high conductivity because they are ionic compounds,” the scientists said. “They are widely used as ‘green' solvents by their excellent properties such as low volatility and flammability and high thermal stability.”
In the study “Improving stability and efficiency of perovskite solar cells by 1-ethyl-3-methyl imidazolium tetracyanoborate ionic liquid,” published in the Journal of Saudi Chemical Society,” the researchers explained that, when applied to perovskite PV devices, ILs can increase the grain size of the perovskite film by delaying crystal growth while they form hydrogen bonds. In particular, the nitrogen atoms in the ILs can provide electrons to passivate defects in the perovskite material.
The academics used two ILs known as 1-butyl-3-mehtyl imidazolium tetrafluoroborate (BMIMBF4) and 1-ethyl-3-methyl imidazolium tetrafluoroborate (EIMIBF4). The latter was distributed in the bulk film and also accumulated at the film surface, while the former was deposited on the perovskite film's grain boundaries.
The scientists built the cell with a substrate made of glass and fluorine-doped tin oxide (FTO), an electron transport layer (ETL) based on titanium dioxide (TiO2), a zirconium dioxide (ZrO2) interlayer, the perovskite absorber, and a carbon electrode. They also tested different concentrations of ILs.
Tested under standard illumination conditions, the solar cell achieved a power conversion efficiency of 13.8%, an open-circuit voltage of 0.95 V, a short-circuit current density of 21.84 mA/cm2, and a fill factor of 66.8%. The device was also able to retain 80 % of the initial efficiency under full-spectrum sunlight at 60–65 C in air with relative humidity ranging from 40 to 50 % after 240 h.
The group explained that the cell achieved a relatively high efficiency due to an increase in cell open-circuit voltage and fill factor, which they attributed to the decrease of recombination losses and the increase in the size of the perovskite crystals. “Also, the increase in the short-circuit current is due to the increase in light absorption as a result of the dense perovskite film due to the increase in crystal size,” it emphasized.
 
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/Graphic_05.03.24-1-280x280.png,global
6,https://www.pv-magazine.com/2024/03/05/chilean-copper-miner-codelco-assigns-1-8-twh-year-in-renewables-auction/,"MARKETS,UTILITY SCALE PV,CHILE",LUIS INI,2024-03-05,Chilean copper miner Codelco assigns 1.8 TWh/year in renewables auction,"From pv magazine LatAm
Codelco has announced the results of its latest public auction for renewable energy procurement. The company said that more than 50 national and international companies participated in the procurement exercise, assigning a total of 1.8 TWh/year.
The winners of the auction were Atlas Renewable Energy, Chilean electricity company Colbún and Canada-based Innergex.
The tender ended up awarding 1,100 GW/year to Colbún, 375 GWh/year to Atlas Renewable Energy, and 350 GWh/year to Innergex. The three contracts will have a duration of 15 years, starting Jan. 1, 2026.
Codelco said that the award process means that as of Jan. 1, 2026, 85% of the electrical energy used by the mining company will come from 100% renewable sources, “thus advancing in the fulfillment of its strategic plan to achieve the decarbonization of its electrical matrix.”
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/1920px-Mina_de_Chuquicamata_Calama_Chile_2016-02-01_DD_110-112_PAN-280x280.jpg,global
7,https://www.pv-magazine.com/2024/03/05/rustmo-mentous-celebrating-10-years-of-south-africas-first-big-solar-site/,"EMPLOYMENT,OPINION & ANALYSIS,POLICY,UTILITY SCALE PV,SOUTH AFRICA",,2024-03-05,RustMo-mentous: Celebrating 10 years of South Africa’s first big-solar site,"As South African renewables continue to mature, the RustMo1 Solar Project, the nation's first utility scale PV site, is a testament to the transformative journey of the industry over the past decade. The 7 MW solar farm, commissioned under the Renewable Energy Independent Power Producers Procurement Programme (REIPPPP), has been operational for 10 years. The first utility scale solar plant built and operated by Juwi Renewable Energies in South Africa, RustMo provides valuable insight into the evolving landscape of South African large scale solar.
Image: JUWI Renewable Energies
In the early rounds of the REIPPPP, high tariffs for utility scale renewables reflected the unproven nature of the program. RustMo developer Momentous Energy benefited from a tariff higher than the rate paid by national utility Eskom as the government sought to instil confidence in clean energy. Over the last decade, technological advances and cheaper debt – which reflected falling investment risk – have transformed utility scale solar from the most expensive to the cheapest clean energy source.
Simultaneously, South Africa's renewables sector saw increased competition. Developers responded by co-locating projects to optimize margins and are navigating regulatory complexity as they gain experience in the nation, and form relationships with the authorities.
Major regulatory changes have unlocked the potential of large scale renewables. The removal of licensing caps; grid code developments that were initiated, in part, during RustMo’s development, and with the support of Juwi and Momentous; and streamlined permitting have created a more favourable environment for developers. The South African Department of Environmental Affairs, for example, stimulated the market by introducing revised regulation, making permitting for large projects at low-to-medium sensitivity sites more efficient and cost-effective.
Project sizes have ballooned since 2014, with RustMo's 7 MW generation capacity reflecting the 75 MW cap on the early bidding rounds of REIPPPP. That restriction has risen to 240 MW in bid window seven as developers target economies of scale, and has reduced the competitiveness of small REIPPPP sites.
Aside from delayed REIPPPP bid windows, a lack of grid capacity, and high local content requirements hindering solar developers, a lesser known challenge is that negotiating agreements for projects on agricultural land has become more intricate as landowners seek optimal terms. Farmers who hold out for the best terms can render planned projects unbankable.
The arrival of engineering, procurement, and construction companies without a track record in South Africa threatens project quality and could complicate issue resolution as projects age and come online. A broader concern is the negative impact on solar of setbacks from less reputable companies. Ongoing support for utility scale solar depends on the technology maintaining a positive reputation.
The operation and maintenance (O&M) of solar plants is where “the rubber hits the road,” and the RustMo project has achieved a performance ratio above the guaranteed rate of 78% over the past decade. Plant availability has varied between 97% and 99.99%. This is the result of meticulous maintenance regimes, strategic planning, high standards of quality, and a robust support group of O&M contractors and owners, with Juwi’s O&M Black Economic Empowerment partner Reatile Renewables jointly owning the project with Momentous.
O&M practice at RustMo sheds light on the challenges and opportunities inherent in maintaining a solar project in South Africa over a decade.
From planning and time management to effective team collaboration, a well-informed and equipped team is critical to navigate the intricacies of large scale solar operations. Sticking to maintenance regimes and comprehensive planning – including having a facility operating plan – have been integral in ensuring seamless operation of the plant. Failure to do planned maintenance can have cascading effects, particularly for projects in remote areas where maintenance can be more challenging.
The RustMo support group – a 24-hour control room in Greece; Cape Town back-office support; and sub-contractors – are integral to O&M, particularly during periods of heightened uncertainty. The availability of essential information, guidelines, and tools enhance the team's ability to address challenges proactively.
The lessons from RustMo suggest that fostering a culture of collaboration and open communication contributes to effective problem solving and ensures the longevity of a solar project. Community relations require careful management and RustMo's experience emphasises the need for community liaison by the client to address concerns effectively. Local procurement and job creation, vital components of the renewable energy landscape, are areas where RustMo has actively engaged with local businesses.
Security is imperative for safeguarding equipment and personnel and RustMo has continuous monitoring, through 24-hour armed security teams and CCTV cameras.
Unexpected challenges, ranging from data storms to encounters with large snakes and fibre internet-loving rats, underscore the unpredictable nature of solar plant operations. The team’s ability to respond to such incidents highlights the resilience and adaptability needed, especially in remote areas.
As RustMo embarks on its next decade, the project remains committed to community development, beyond regulatory requirements. Some 17% of dividends are contributed to the Momentous Foundation Community Trust, instead of the 2.5% required by the REIPPPP.
That means solar profits have supported early-childhood development education for 250 youngsters, provided meals for 700 children during the Covid pandemic, and financed safe flushing toilets to replace dangerous pit latrines.
Momentous recently signed a further O&M agreement with Juwi, ensuring RustMo's continued contribution to clean energy generation and socioeconomic development. The project is poised to generate an additional 110 GWh of clean energy, reducing carbon emissions by approximately 66,000 tons.
Beyond those direct impacts, RustMo1 serves as a model that inspired the evolution of South Africa's national renewables procurement programme. As the sector continues to evolve, RustMo is a great example of how renewable energy projects can drive environmental sustainability and meaningful social and economic impact. RustMo1 is not just a solar farm; it is a trailblazer and beacon of innovation, collaboration, and lasting positive change in South Africa's renewable energy landscape.
About the author: Richard Doyle, managing director of Juwi Renewables South Africa, is a physicist with more than a decade of global leadership, innovation, and business development experience in large scale renewable energy and independent power production. Before joining Juwi, Doyle developed some of the earliest power purchase agreements in South Africa, for independent power producers Avelar and Mulilo.
The views and opinions expressed in this article are the author’s own, and do not necessarily reflect those held by pv magazine.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/02/JUWI-Rustmo--280x280.jpg,global
8,https://www.pv-magazine.com/2024/03/05/italy-offers-fiscal-breaks-to-pv-projects-built-with-solar-modules-made-in-eu/,"MARKETS,MODULES & UPSTREAM MANUFACTURING,TECHNOLOGY AND R&D,ITALY",SERGIO MATALUCCI,2024-03-05,Italy offers fiscal breaks to PV projects built with EU-made solar modules,"From pv magazine Italy
The Italian government published the National Recovery and Resilience Plan (NRRP) 2 in the country's official journal on March 2, introducing new fiscal credits to purchase components for renewable energy projects.
Barbara Paulangelo, partner and technical director for Italian consultancy Reliable Energy Advisor (REA), told pv magazine that the fiscal credits will be given to projects that achieve a reduction in energy consumption.
The fiscal credits for PV could reach up to 35% of the cost of the solar modules and will be awarded to projects that exclusively use solar panels made in the European Union. They will be awarded to projects with panels with module efficiency ratings of more than 21.5%, or products with cell efficiencies above 23.5%. They will also be awarded to projects that use either heterojunction or perovskite-silicon tandem modules with efficiencies of more than 24%.
Celeste Mellone of Italian law firm Green Horse Advisory said the tax credits will be recognized for up to 35% of a total investment of up to €2.5 million ($2.71 million) and up to 5% for total investments of €10 million.
“The maximum limit of eligible costs is equal to €50 million per year per beneficiary company,” said Mellone. “These measures are designed for plants intended for self-consumption, but in principle we can't exclude that an excess quota possibly released into the grid could be compatible with the public incentives recognized by the Gestore dei Servizi Energetici.”
The decree said that the possible beneficiaries are “companies resident in the national territory, regardless of the legal form, the economic sector to which they belong, the size and the tax regime for determining the company's income.”
The investments must be made in the 2024-25 period. The plan provides resources equal to €6.3 billion, which are added to the €6.4 billion already set out under Italy's budget law, for a total of approximately €13 billion.
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/03/LongimoduleMay23-1536x1152-1-280x280.jpg,global
9,https://www.pv-magazine.com/2024/03/05/dyenamo-expands-materials-offer-for-perovskite-silicon-tandem-solar-cells/,"MODULES & UPSTREAM MANUFACTURING,TECHNOLOGY AND R&D,SWEDEN",VALERIE THOMPSON,2024-03-05,Dyenamo expands materials offer for perovskite-silicon tandem solar cells,"Dyenamo, a Swedish manufacturer of solar cell materials, has expanded the range and the volume of production of its perovskite materials with the addition of five new fullerene acceptors.
“The main reason for launching the new products was to supply emerging perovskite-silicon tandem solar cell manufacturers. They need high-purity perovskite salts, self-assembled monolayer molecules, acceptor materials, and passivation materials,” the company's CEO, Henrik Pettersson, told pv magazine.
The fullerene acceptor materials are typically used in organic PV (OPV) and perovskite solar cells for electron transport, and they are compatible with both vacuum and solution processing. The range includes buckminsterfullerene (C60), C70, phenyl-C61-butyric acid methyl ester (PCBM), PC71BM and ICBA.
The new line is just the latest expansion news from the Swedish company. A few months earlier, Dyenamo added a line of perovskite passivation products and a line of self-assembled monolayer (SAM) molecular materials to its range of perovskite materials.
Dyenamo has been supplying the chemistry-based solar cell industry since 2011. Its perovskite materials have been used in record-breaking devices for their stabilizing effects or efficiency-enhancing performance, or both, according to Dyenamo CEO, Henrik Pettersson.
“Last year, we increased production of high-quality perovskite salts and low-temperature carbon paste following our customers’ need to continue to modify the properties of their devices,” said Henrik who added that customers are located in Europe, North America, Asia, and Australia.
The Dyenamo salts are used in the range of perovskite concepts and deposition techniques, vacuum and solutions-based, while the carbon paste is particularly useful in so-called inverse n-i-p perovskite cells that have carbon as the back-contact material.
As for the passivation materials, Pettersson highlighted how they contribute to device stability without being detrimental to efficiency values. The passivation layers typically enhance the hydrophobicity of the perovskite surface working against moisture and passivate defects. They prolong charge-carrier lifetimes and suppress non-radiative recombination losses. “By engineering the interfaces within perovskite devices, they are creating more favorable energy level alignments and enhancing charge extraction, as well as reducing charge recombination. In addition, they inhibit ion migration,” said Pettersson.
Dyenamo, which currently employs 10 professionals, initially targeted dye-sensitized solar cell (DSSC) materials. “The focus was due to our founders’ research and development experience but after two years of supplying DSSC material, we added perovskite in 2013. There is an overlap in the materials used,” said Pettersson. “Later, we added the OPV customer base for the same reason, that is, certain perovskite materials are applicable to OPV fabrication.”
To keep pace with the latest research and development trends, Dyenamo is active in four European perovskite projects; Pepperoni, a four-year research project involving a pilot line at Qcells in Germany; Triumph, a project aiming for triple-junction silicon-perovskite-perovskite devices coordinated by IMEC; the Diamond project which has a focus on carbon back-contact devices, coordinated by the Fraunhofer ISE; and Sunrey, a project coordinated by Fraunhofer Institute for Applied Polymer Research (IAP) working on processes and materials to fabricate high efficiency, lead-free perovskite devices, as well as Swedish projects that target key challenges.
“This kind of collaboration is important. There are so many records being broken and advances being made in terms of device sizes, lifetimes and stability, PV stack configurations, indoor PV, high temperature processing and solutions processing. It is still not clear which will be the winning combinations,” said Pettersson.
 
This content is protected by copyright and may not be reused. If you want to cooperate with us and would like to reuse some of our content, please contact: editors@pv-magazine.com.",https://www.pv-magazine.com/wp-content/uploads/2024/02/dyenamo-280x280.jpg,global
